repo_a,repo_b,similarity
tensorflow/tensorflow,tensorflow/tensorflow,1.0
tensorflow/tensorflow,flutter/flutter,0.306469
tensorflow/tensorflow,ollama/ollama,0.297037
tensorflow/tensorflow,huggingface/transformers,0.440092
tensorflow/tensorflow,langgenius/dify,0.393498
tensorflow/tensorflow,vercel/next.js,0.358326
tensorflow/tensorflow,open-webui/open-webui,0.373821
tensorflow/tensorflow,langchain-ai/langchain,0.404453
tensorflow/tensorflow,kubernetes/kubernetes,0.461178
tensorflow/tensorflow,supabase/supabase,0.182189
tensorflow/tensorflow,angular/angular,0.132302
tensorflow/tensorflow,pytorch/pytorch,0.636982
tensorflow/tensorflow,fastapi/fastapi,0.421191
tensorflow/tensorflow,ant-design/ant-design,0.25448
tensorflow/tensorflow,django/django,0.195065
tensorflow/tensorflow,opencv/opencv,0.435591
tensorflow/tensorflow,home-assistant/core,0.204276
tensorflow/tensorflow,sveltejs/svelte,0.331786
tensorflow/tensorflow,vllm-project/vllm,0.467681
tensorflow/tensorflow,elastic/elasticsearch,0.255957
tensorflow/tensorflow,grafana/grafana,0.365676
tensorflow/tensorflow,apache/superset,0.217692
tensorflow/tensorflow,pallets/flask,0.348086
tensorflow/tensorflow,ansible/ansible,0.356313
tensorflow/tensorflow,apache/echarts,0.196685
tensorflow/tensorflow,scikit-learn/scikit-learn,0.55527
tensorflow/tensorflow,keras-team/keras,0.483996
tensorflow/tensorflow,prometheus/prometheus,0.288797
tensorflow/tensorflow,commaai/openpilot,0.227637
tensorflow/tensorflow,pocketbase/pocketbase,0.192565
tensorflow/tensorflow,ultralytics/ultralytics,0.512065
tensorflow/tensorflow,appwrite/appwrite,0.232764
tensorflow/tensorflow,vuejs/core,0.408869
tensorflow/tensorflow,expo/expo,0.169053
tensorflow/tensorflow,run-llama/llama_index,0.491273
tensorflow/tensorflow,pandas-dev/pandas,0.435678
tensorflow/tensorflow,hashicorp/terraform,0.245737
tensorflow/tensorflow,prisma/prisma,0.138132
tensorflow/tensorflow,apache/airflow,0.175207
tensorflow/tensorflow,streamlit/streamlit,0.401433
tensorflow/tensorflow,milvus-io/milvus,0.448306
tensorflow/tensorflow,getsentry/sentry,0.237797
tensorflow/tensorflow,apache/spark,0.286351
tensorflow/tensorflow,gradio-app/gradio,0.473191
tensorflow/tensorflow,ray-project/ray,0.507917
tensorflow/tensorflow,HKUDS/nanobot,0.479141
tensorflow/tensorflow,pingcap/tidb,0.275746
tensorflow/tensorflow,facebookresearch/faiss,0.345164
tensorflow/tensorflow,photoprism/photoprism,0.616506
tensorflow/tensorflow,istio/istio,0.423347
tensorflow/tensorflow,duckdb/duckdb,0.220454
tensorflow/tensorflow,docker/compose,0.173692
tensorflow/tensorflow,typeorm/typeorm,0.117112
tensorflow/tensorflow,jax-ml/jax,0.4829
tensorflow/tensorflow,nextcloud/server,0.309492
tensorflow/tensorflow,PostHog/posthog,0.156376
tensorflow/tensorflow,alibaba/nacos,0.394002
tensorflow/tensorflow,lutzroeder/netron,0.573608
tensorflow/tensorflow,apache/kafka,0.299652
tensorflow/tensorflow,seaweedfs/seaweedfs,0.243891
tensorflow/tensorflow,cockroachdb/cockroach,0.136012
tensorflow/tensorflow,numpy/numpy,0.550875
tensorflow/tensorflow,hasura/graphql-engine,0.265299
tensorflow/tensorflow,qdrant/qdrant,0.55413
tensorflow/tensorflow,openai/openai-python,0.347104
tensorflow/tensorflow,helm/helm,0.439251
tensorflow/tensorflow,academic/awesome-datascience,0.482776
tensorflow/tensorflow,alibaba/spring-cloud-alibaba,0.207807
tensorflow/tensorflow,dmlc/xgboost,0.503859
tensorflow/tensorflow,chroma-core/chroma,0.349534
tensorflow/tensorflow,langfuse/langfuse,0.337069
tensorflow/tensorflow,apache/flink,0.220788
tensorflow/tensorflow,mlflow/mlflow,0.467864
tensorflow/tensorflow,pulumi/pulumi,0.329477
tensorflow/tensorflow,clockworklabs/SpacetimeDB,0.167463
tensorflow/tensorflow,PaddlePaddle/Paddle,0.661332
tensorflow/tensorflow,volcengine/OpenViking,0.3326
tensorflow/tensorflow,Tencent/ncnn,0.615569
tensorflow/tensorflow,phoenixframework/phoenix,0.405621
tensorflow/tensorflow,argoproj/argo-cd,0.316771
tensorflow/tensorflow,matplotlib/matplotlib,0.417659
tensorflow/tensorflow,jaegertracing/jaeger,0.358748
tensorflow/tensorflow,jhipster/generator-jhipster,0.303742
tensorflow/tensorflow,prefecthq/prefect,0.39296
tensorflow/tensorflow,elastic/kibana,0.084415
tensorflow/tensorflow,microsoft/onnxruntime,0.524628
tensorflow/tensorflow,baidu/amis,0.33954
tensorflow/tensorflow,tursodatabase/turso,0.126064
tensorflow/tensorflow,screenpipe/screenpipe,0.414377
tensorflow/tensorflow,plotly/plotly.py,0.281107
tensorflow/tensorflow,microsoft/LightGBM,0.395604
tensorflow/tensorflow,rqlite/rqlite,0.392625
tensorflow/tensorflow,weaviate/weaviate,0.458989
tensorflow/tensorflow,apache/doris,0.081755
tensorflow/tensorflow,jupyterlab/jupyterlab,0.476923
tensorflow/tensorflow,apexcharts/apexcharts.js,0.19236
tensorflow/tensorflow,ktorio/ktor,0.352885
tensorflow/tensorflow,jupyter/notebook,0.402985
tensorflow/tensorflow,encode/starlette,0.42221
tensorflow/tensorflow,StarRocks/starrocks,0.310103
tensorflow/tensorflow,get-convex/convex-backend,0.319952
tensorflow/tensorflow,misskey-dev/misskey,0.348675
tensorflow/tensorflow,frappe/frappe,0.351321
tensorflow/tensorflow,openebs/openebs,0.344346
tensorflow/tensorflow,hicccc77/WeFlow,0.228278
tensorflow/tensorflow,apache/seatunnel,0.403064
tensorflow/tensorflow,databendlabs/databend,0.249249
tensorflow/tensorflow,modelscope/modelscope,0.618211
tensorflow/tensorflow,dropwizard/dropwizard,0.294861
tensorflow/tensorflow,webstudio-is/webstudio,0.289106
tensorflow/tensorflow,stamparm/maltrail,0.513411
tensorflow/tensorflow,k8sgpt-ai/k8sgpt,0.373257
tensorflow/tensorflow,chengaopan/AutoMergePublicNodes,0.361235
tensorflow/tensorflow,LearningCircuit/local-deep-research,0.461885
tensorflow/tensorflow,woodpecker-ci/woodpecker,0.322624
tensorflow/tensorflow,TagStudioDev/TagStudio,0.414442
tensorflow/tensorflow,databasus/databasus,0.22311
tensorflow/tensorflow,nesquena/hermes-webui,0.310338
tensorflow/tensorflow,farm-fe/farm,0.294595
tensorflow/tensorflow,home-assistant/frontend,0.192028
tensorflow/tensorflow,osaurus-ai/osaurus,0.398857
tensorflow/tensorflow,floci-io/floci,0.272327
tensorflow/tensorflow,metalbear-co/mirrord,0.368646
tensorflow/tensorflow,sacridini/Awesome-Geospatial,0.216339
tensorflow/tensorflow,Mai-with-u/MaiBot,0.254379
tensorflow/tensorflow,clidey/whodb,0.294053
tensorflow/tensorflow,Tracer-Cloud/opensre,0.42738
tensorflow/tensorflow,pytorch/executorch,0.594517
tensorflow/tensorflow,EasyCorp/EasyAdminBundle,0.15591
tensorflow/tensorflow,SwanHubX/SwanLab,0.549679
tensorflow/tensorflow,IBM/mcp-context-forge,0.381964
tensorflow/tensorflow,web-infra-dev/rsbuild,0.299778
tensorflow/tensorflow,metorial/metorial,0.344722
tensorflow/tensorflow,langwatch/langwatch,0.408307
tensorflow/tensorflow,neomjs/neo,0.482959
tensorflow/tensorflow,TableProApp/TablePro,0.169911
tensorflow/tensorflow,hosseinmoein/DataFrame,0.331806
tensorflow/tensorflow,av/harbor,0.31824
tensorflow/tensorflow,patrick-kidger/equinox,0.349795
tensorflow/tensorflow,ZSeven-W/openpencil,0.375161
tensorflow/tensorflow,superplanehq/superplane,0.324484
tensorflow/tensorflow,schultek/jaspr,0.265255
tensorflow/tensorflow,kubenav/kubenav,0.171951
tensorflow/tensorflow,apioo/fusio,0.343018
tensorflow/tensorflow,openhab/openhab-addons,0.351017
tensorflow/tensorflow,KudoAI/chatgpt.js,0.329875
tensorflow/tensorflow,ezshine/AwesomeSites,0.34982
tensorflow/tensorflow,Nano-Collective/nanocoder,0.349699
tensorflow/tensorflow,NeptuneHub/AudioMuse-AI,0.245727
tensorflow/tensorflow,userfrosting/UserFrosting,0.295841
tensorflow/tensorflow,apache/solr,0.100729
tensorflow/tensorflow,EnzymeAD/Enzyme,0.329902
tensorflow/tensorflow,TailGrids/tailgrids,0.242802
tensorflow/tensorflow,mkubaczyk/helmsman,0.130473
tensorflow/tensorflow,serversideup/spin,0.155556
tensorflow/tensorflow,kimdre/doco-cd,0.256064
tensorflow/tensorflow,kube-green/kube-green,0.319254
tensorflow/tensorflow,jsxgraph/jsxgraph,0.198296
tensorflow/tensorflow,t8y2/dbx,0.258339
tensorflow/tensorflow,yjl9903/AnimeGarden,0.405031
tensorflow/tensorflow,ppy/osu-web,0.314408
tensorflow/tensorflow,OSGeo/grass,0.490584
tensorflow/tensorflow,rzru/nightingale,0.313091
tensorflow/tensorflow,apache/ofbiz-framework,0.054896
tensorflow/tensorflow,EhTagTranslation/Database,0.441344
tensorflow/tensorflow,howie6879/weekly,0.105749
tensorflow/tensorflow,xiaoiver/infinite-canvas-tutorial,0.354942
tensorflow/tensorflow,SemiAnalysisAI/InferenceX,0.53238
tensorflow/tensorflow,yegor256/takes,0.351165
tensorflow/tensorflow,ArcadeData/arcadedb,0.283084
tensorflow/tensorflow,ENTERPILOT/GoModel,0.325253
tensorflow/tensorflow,bjw-s-labs/home-ops,0.336312
tensorflow/tensorflow,bgauryy/octocode-mcp,0.418178
tensorflow/tensorflow,superiorlu/AITreasureBox,0.478637
tensorflow/tensorflow,openyak/openyak,0.473364
tensorflow/tensorflow,rcarmo/piclaw,0.285799
tensorflow/tensorflow,adriannovegil/awesome-observability,0.188277
tensorflow/tensorflow,flamego/flamego,0.357795
tensorflow/tensorflow,kviklet/kviklet,0.155716
tensorflow/tensorflow,suyoumo/ClawProBench,0.389173
tensorflow/tensorflow,GeminiLight/MindOS,0.364811
tensorflow/tensorflow,kurtosis-tech/kurtosis,0.309795
tensorflow/tensorflow,mx-space/core,0.346181
tensorflow/tensorflow,henrydaum/second-brain,0.25462
tensorflow/tensorflow,flaviuse/mern-authentication,0.105873
tensorflow/tensorflow,D-Sketon/hexo-theme-reimu,0.301801
tensorflow/tensorflow,FrancescoXX/rustcrab,0.244964
tensorflow/tensorflow,violit-dev/violit,0.48595
tensorflow/tensorflow,cyhhao/vibe-remote,0.353145
tensorflow/tensorflow,aree6/LiftShift,0.333278
tensorflow/tensorflow,ILoveBingLu/CipherTalk,0.337135
tensorflow/tensorflow,buroa/k8s-gitops,0.317613
tensorflow/tensorflow,vellum-ai/vellum-assistant,0.439805
tensorflow/tensorflow,alexandre-daubois/ember,0.37026
tensorflow/tensorflow,netbox-community/netbox-chart,0.298044
tensorflow/tensorflow,thomwebb/gac,0.40842
tensorflow/tensorflow,MIERUNE/svelte-maplibre-gl,0.39508
tensorflow/tensorflow,Linuxfabrik/monitoring-plugins,0.27022
tensorflow/tensorflow,iopsystems/rezolus,0.185263
tensorflow/tensorflow,Fu-Jie/openwebui-extensions,0.374943
flutter/flutter,tensorflow/tensorflow,0.306469
flutter/flutter,flutter/flutter,1.0
flutter/flutter,ollama/ollama,0.12033
flutter/flutter,huggingface/transformers,0.07856
flutter/flutter,langgenius/dify,0.304483
flutter/flutter,vercel/next.js,0.425096
flutter/flutter,open-webui/open-webui,0.24135
flutter/flutter,langchain-ai/langchain,0.426179
flutter/flutter,kubernetes/kubernetes,0.251899
flutter/flutter,supabase/supabase,0.392895
flutter/flutter,angular/angular,0.326214
flutter/flutter,pytorch/pytorch,0.175096
flutter/flutter,fastapi/fastapi,0.334743
flutter/flutter,ant-design/ant-design,0.340167
flutter/flutter,django/django,0.176694
flutter/flutter,opencv/opencv,0.138541
flutter/flutter,home-assistant/core,0.216022
flutter/flutter,sveltejs/svelte,0.292314
flutter/flutter,vllm-project/vllm,0.19268
flutter/flutter,elastic/elasticsearch,0.040399
flutter/flutter,grafana/grafana,0.281332
flutter/flutter,apache/superset,0.062825
flutter/flutter,pallets/flask,0.209778
flutter/flutter,ansible/ansible,0.378026
flutter/flutter,apache/echarts,0.186861
flutter/flutter,scikit-learn/scikit-learn,0.214113
flutter/flutter,keras-team/keras,0.125703
flutter/flutter,prometheus/prometheus,0.267714
flutter/flutter,commaai/openpilot,0.212302
flutter/flutter,pocketbase/pocketbase,0.29706
flutter/flutter,ultralytics/ultralytics,0.260694
flutter/flutter,appwrite/appwrite,0.59899
flutter/flutter,vuejs/core,0.309385
flutter/flutter,expo/expo,0.346789
flutter/flutter,run-llama/llama_index,0.320585
flutter/flutter,pandas-dev/pandas,0.149082
flutter/flutter,hashicorp/terraform,0.142033
flutter/flutter,prisma/prisma,0.177778
flutter/flutter,apache/airflow,0.007578
flutter/flutter,streamlit/streamlit,0.35744
flutter/flutter,milvus-io/milvus,0.231845
flutter/flutter,getsentry/sentry,0.280946
flutter/flutter,apache/spark,0.068891
flutter/flutter,gradio-app/gradio,0.432782
flutter/flutter,ray-project/ray,0.156698
flutter/flutter,HKUDS/nanobot,0.362306
flutter/flutter,pingcap/tidb,0.16204
flutter/flutter,facebookresearch/faiss,0.070387
flutter/flutter,photoprism/photoprism,0.402415
flutter/flutter,istio/istio,0.218065
flutter/flutter,duckdb/duckdb,0.31555
flutter/flutter,docker/compose,0.227582
flutter/flutter,typeorm/typeorm,0.244089
flutter/flutter,jax-ml/jax,0.216366
flutter/flutter,nextcloud/server,0.196268
flutter/flutter,PostHog/posthog,0.265084
flutter/flutter,alibaba/nacos,0.337935
flutter/flutter,lutzroeder/netron,0.236265
flutter/flutter,apache/kafka,0.284241
flutter/flutter,seaweedfs/seaweedfs,0.188494
flutter/flutter,cockroachdb/cockroach,0.099507
flutter/flutter,numpy/numpy,0.309066
flutter/flutter,hasura/graphql-engine,0.197136
flutter/flutter,qdrant/qdrant,0.32755
flutter/flutter,openai/openai-python,0.104252
flutter/flutter,helm/helm,0.219019
flutter/flutter,academic/awesome-datascience,0.194498
flutter/flutter,alibaba/spring-cloud-alibaba,0.149135
flutter/flutter,dmlc/xgboost,0.219606
flutter/flutter,chroma-core/chroma,0.333287
flutter/flutter,langfuse/langfuse,0.274649
flutter/flutter,apache/flink,0.049282
flutter/flutter,mlflow/mlflow,0.142727
flutter/flutter,pulumi/pulumi,0.343402
flutter/flutter,clockworklabs/SpacetimeDB,0.225013
flutter/flutter,PaddlePaddle/Paddle,0.233244
flutter/flutter,volcengine/OpenViking,0.110733
flutter/flutter,Tencent/ncnn,0.308912
flutter/flutter,phoenixframework/phoenix,0.447453
flutter/flutter,argoproj/argo-cd,0.251548
flutter/flutter,matplotlib/matplotlib,0.225525
flutter/flutter,jaegertracing/jaeger,0.342829
flutter/flutter,jhipster/generator-jhipster,0.38762
flutter/flutter,prefecthq/prefect,0.157854
flutter/flutter,elastic/kibana,0.114435
flutter/flutter,microsoft/onnxruntime,0.046503
flutter/flutter,baidu/amis,0.415652
flutter/flutter,tursodatabase/turso,0.192949
flutter/flutter,screenpipe/screenpipe,0.187879
flutter/flutter,plotly/plotly.py,0.307287
flutter/flutter,microsoft/LightGBM,0.163382
flutter/flutter,rqlite/rqlite,0.34769
flutter/flutter,weaviate/weaviate,0.255754
flutter/flutter,apache/doris,0.002993
flutter/flutter,jupyterlab/jupyterlab,0.321113
flutter/flutter,apexcharts/apexcharts.js,0.202265
flutter/flutter,ktorio/ktor,0.361005
flutter/flutter,jupyter/notebook,0.352979
flutter/flutter,encode/starlette,0.360494
flutter/flutter,StarRocks/starrocks,0.080311
flutter/flutter,get-convex/convex-backend,0.23668
flutter/flutter,misskey-dev/misskey,0.39502
flutter/flutter,frappe/frappe,0.180514
flutter/flutter,openebs/openebs,0.284356
flutter/flutter,hicccc77/WeFlow,0.256552
flutter/flutter,apache/seatunnel,0.311637
flutter/flutter,databendlabs/databend,0.078137
flutter/flutter,modelscope/modelscope,0.263758
flutter/flutter,dropwizard/dropwizard,0.280781
flutter/flutter,webstudio-is/webstudio,0.27391
flutter/flutter,stamparm/maltrail,0.21036
flutter/flutter,k8sgpt-ai/k8sgpt,0.278931
flutter/flutter,chengaopan/AutoMergePublicNodes,0.338826
flutter/flutter,LearningCircuit/local-deep-research,0.213117
flutter/flutter,woodpecker-ci/woodpecker,0.29564
flutter/flutter,TagStudioDev/TagStudio,0.308158
flutter/flutter,databasus/databasus,0.258045
flutter/flutter,nesquena/hermes-webui,0.27939
flutter/flutter,farm-fe/farm,0.336305
flutter/flutter,home-assistant/frontend,0.252422
flutter/flutter,osaurus-ai/osaurus,0.163812
flutter/flutter,floci-io/floci,0.277935
flutter/flutter,metalbear-co/mirrord,0.314565
flutter/flutter,sacridini/Awesome-Geospatial,0.015057
flutter/flutter,Mai-with-u/MaiBot,0.165139
flutter/flutter,clidey/whodb,0.233518
flutter/flutter,Tracer-Cloud/opensre,0.151617
flutter/flutter,pytorch/executorch,0.351256
flutter/flutter,EasyCorp/EasyAdminBundle,0.276133
flutter/flutter,SwanHubX/SwanLab,0.276465
flutter/flutter,IBM/mcp-context-forge,0.210488
flutter/flutter,web-infra-dev/rsbuild,0.490637
flutter/flutter,metorial/metorial,0.08578
flutter/flutter,langwatch/langwatch,0.226217
flutter/flutter,neomjs/neo,0.170838
flutter/flutter,TableProApp/TablePro,0.295947
flutter/flutter,hosseinmoein/DataFrame,-0.022786
flutter/flutter,av/harbor,0.158525
flutter/flutter,patrick-kidger/equinox,0.161369
flutter/flutter,ZSeven-W/openpencil,0.439533
flutter/flutter,superplanehq/superplane,0.210239
flutter/flutter,schultek/jaspr,0.576239
flutter/flutter,kubenav/kubenav,0.537799
flutter/flutter,apioo/fusio,0.144064
flutter/flutter,openhab/openhab-addons,0.388132
flutter/flutter,KudoAI/chatgpt.js,0.350383
flutter/flutter,ezshine/AwesomeSites,0.320042
flutter/flutter,Nano-Collective/nanocoder,0.154474
flutter/flutter,NeptuneHub/AudioMuse-AI,0.174232
flutter/flutter,userfrosting/UserFrosting,0.277258
flutter/flutter,apache/solr,0.032774
flutter/flutter,EnzymeAD/Enzyme,-0.013465
flutter/flutter,TailGrids/tailgrids,0.331136
flutter/flutter,mkubaczyk/helmsman,-0.004988
flutter/flutter,serversideup/spin,0.331381
flutter/flutter,kimdre/doco-cd,0.264789
flutter/flutter,kube-green/kube-green,0.311574
flutter/flutter,jsxgraph/jsxgraph,0.200806
flutter/flutter,t8y2/dbx,0.188724
flutter/flutter,yjl9903/AnimeGarden,0.455382
flutter/flutter,ppy/osu-web,0.292679
flutter/flutter,OSGeo/grass,0.169524
flutter/flutter,rzru/nightingale,0.19656
flutter/flutter,apache/ofbiz-framework,0.059315
flutter/flutter,EhTagTranslation/Database,0.476808
flutter/flutter,howie6879/weekly,0.198495
flutter/flutter,xiaoiver/infinite-canvas-tutorial,0.356216
flutter/flutter,SemiAnalysisAI/InferenceX,0.112676
flutter/flutter,yegor256/takes,0.160647
flutter/flutter,ArcadeData/arcadedb,0.135466
flutter/flutter,ENTERPILOT/GoModel,0.214952
flutter/flutter,bjw-s-labs/home-ops,0.26408
flutter/flutter,bgauryy/octocode-mcp,0.123726
flutter/flutter,superiorlu/AITreasureBox,0.290922
flutter/flutter,openyak/openyak,0.332753
flutter/flutter,rcarmo/piclaw,0.090295
flutter/flutter,adriannovegil/awesome-observability,0.105456
flutter/flutter,flamego/flamego,0.215149
flutter/flutter,kviklet/kviklet,0.148483
flutter/flutter,suyoumo/ClawProBench,0.279884
flutter/flutter,GeminiLight/MindOS,0.246326
flutter/flutter,kurtosis-tech/kurtosis,0.191704
flutter/flutter,mx-space/core,0.298132
flutter/flutter,henrydaum/second-brain,0.051796
flutter/flutter,flaviuse/mern-authentication,0.149988
flutter/flutter,D-Sketon/hexo-theme-reimu,0.457764
flutter/flutter,FrancescoXX/rustcrab,0.262213
flutter/flutter,violit-dev/violit,0.243533
flutter/flutter,cyhhao/vibe-remote,0.379972
flutter/flutter,aree6/LiftShift,0.249689
flutter/flutter,ILoveBingLu/CipherTalk,0.367016
flutter/flutter,buroa/k8s-gitops,0.230916
flutter/flutter,vellum-ai/vellum-assistant,0.374414
flutter/flutter,alexandre-daubois/ember,0.309468
flutter/flutter,netbox-community/netbox-chart,0.210083
flutter/flutter,thomwebb/gac,0.29236
flutter/flutter,MIERUNE/svelte-maplibre-gl,0.22106
flutter/flutter,Linuxfabrik/monitoring-plugins,0.22788
flutter/flutter,iopsystems/rezolus,0.015241
flutter/flutter,Fu-Jie/openwebui-extensions,0.31447
ollama/ollama,tensorflow/tensorflow,0.297037
ollama/ollama,flutter/flutter,0.12033
ollama/ollama,ollama/ollama,1.0
ollama/ollama,huggingface/transformers,0.168589
ollama/ollama,langgenius/dify,0.371676
ollama/ollama,vercel/next.js,0.140124
ollama/ollama,open-webui/open-webui,0.434467
ollama/ollama,langchain-ai/langchain,0.281919
ollama/ollama,kubernetes/kubernetes,0.189475
ollama/ollama,supabase/supabase,0.237856
ollama/ollama,angular/angular,0.099601
ollama/ollama,pytorch/pytorch,0.197654
ollama/ollama,fastapi/fastapi,0.35707
ollama/ollama,ant-design/ant-design,0.134078
ollama/ollama,django/django,0.184237
ollama/ollama,opencv/opencv,0.248741
ollama/ollama,home-assistant/core,0.185806
ollama/ollama,sveltejs/svelte,0.092197
ollama/ollama,vllm-project/vllm,0.43281
ollama/ollama,elastic/elasticsearch,0.083298
ollama/ollama,grafana/grafana,0.282057
ollama/ollama,apache/superset,0.066865
ollama/ollama,pallets/flask,0.187299
ollama/ollama,ansible/ansible,0.08724
ollama/ollama,apache/echarts,0.106365
ollama/ollama,scikit-learn/scikit-learn,0.268457
ollama/ollama,keras-team/keras,0.142469
ollama/ollama,prometheus/prometheus,0.254919
ollama/ollama,commaai/openpilot,0.364466
ollama/ollama,pocketbase/pocketbase,0.296071
ollama/ollama,ultralytics/ultralytics,0.336733
ollama/ollama,appwrite/appwrite,0.086139
ollama/ollama,vuejs/core,0.170058
ollama/ollama,expo/expo,0.18418
ollama/ollama,run-llama/llama_index,0.35039
ollama/ollama,pandas-dev/pandas,0.08742
ollama/ollama,hashicorp/terraform,0.199006
ollama/ollama,prisma/prisma,0.283491
ollama/ollama,apache/airflow,0.023312
ollama/ollama,streamlit/streamlit,0.207879
ollama/ollama,milvus-io/milvus,0.188955
ollama/ollama,getsentry/sentry,0.113092
ollama/ollama,apache/spark,0.112823
ollama/ollama,gradio-app/gradio,0.287165
ollama/ollama,ray-project/ray,0.153561
ollama/ollama,HKUDS/nanobot,0.298581
ollama/ollama,pingcap/tidb,0.109808
ollama/ollama,facebookresearch/faiss,-0.028139
ollama/ollama,photoprism/photoprism,0.248215
ollama/ollama,istio/istio,0.23437
ollama/ollama,duckdb/duckdb,0.172375
ollama/ollama,docker/compose,0.199336
ollama/ollama,typeorm/typeorm,0.188273
ollama/ollama,jax-ml/jax,0.249402
ollama/ollama,nextcloud/server,0.206762
ollama/ollama,PostHog/posthog,0.116853
ollama/ollama,alibaba/nacos,0.274364
ollama/ollama,lutzroeder/netron,0.279166
ollama/ollama,apache/kafka,0.15972
ollama/ollama,seaweedfs/seaweedfs,0.241806
ollama/ollama,cockroachdb/cockroach,0.108741
ollama/ollama,numpy/numpy,0.307007
ollama/ollama,hasura/graphql-engine,0.223983
ollama/ollama,qdrant/qdrant,0.153288
ollama/ollama,openai/openai-python,0.317557
ollama/ollama,helm/helm,0.203241
ollama/ollama,academic/awesome-datascience,0.298632
ollama/ollama,alibaba/spring-cloud-alibaba,0.199468
ollama/ollama,dmlc/xgboost,0.211178
ollama/ollama,chroma-core/chroma,0.242393
ollama/ollama,langfuse/langfuse,0.492692
ollama/ollama,apache/flink,0.081708
ollama/ollama,mlflow/mlflow,0.315009
ollama/ollama,pulumi/pulumi,0.206796
ollama/ollama,clockworklabs/SpacetimeDB,0.331987
ollama/ollama,PaddlePaddle/Paddle,0.20094
ollama/ollama,volcengine/OpenViking,0.303529
ollama/ollama,Tencent/ncnn,0.168596
ollama/ollama,phoenixframework/phoenix,0.25534
ollama/ollama,argoproj/argo-cd,0.222919
ollama/ollama,matplotlib/matplotlib,0.344964
ollama/ollama,jaegertracing/jaeger,0.182319
ollama/ollama,jhipster/generator-jhipster,0.166705
ollama/ollama,prefecthq/prefect,0.282111
ollama/ollama,elastic/kibana,0.188463
ollama/ollama,microsoft/onnxruntime,0.183755
ollama/ollama,baidu/amis,0.216771
ollama/ollama,tursodatabase/turso,0.192358
ollama/ollama,screenpipe/screenpipe,0.24065
ollama/ollama,plotly/plotly.py,0.243662
ollama/ollama,microsoft/LightGBM,0.239718
ollama/ollama,rqlite/rqlite,0.166348
ollama/ollama,weaviate/weaviate,0.139107
ollama/ollama,apache/doris,0.108129
ollama/ollama,jupyterlab/jupyterlab,0.269759
ollama/ollama,apexcharts/apexcharts.js,0.16911
ollama/ollama,ktorio/ktor,0.28346
ollama/ollama,jupyter/notebook,0.124708
ollama/ollama,encode/starlette,0.249729
ollama/ollama,StarRocks/starrocks,0.206756
ollama/ollama,get-convex/convex-backend,0.181314
ollama/ollama,misskey-dev/misskey,0.131107
ollama/ollama,frappe/frappe,0.190498
ollama/ollama,openebs/openebs,0.244402
ollama/ollama,hicccc77/WeFlow,0.107496
ollama/ollama,apache/seatunnel,0.158413
ollama/ollama,databendlabs/databend,0.173669
ollama/ollama,modelscope/modelscope,0.311238
ollama/ollama,dropwizard/dropwizard,0.160251
ollama/ollama,webstudio-is/webstudio,0.200493
ollama/ollama,stamparm/maltrail,0.163845
ollama/ollama,k8sgpt-ai/k8sgpt,0.313089
ollama/ollama,chengaopan/AutoMergePublicNodes,0.169244
ollama/ollama,LearningCircuit/local-deep-research,0.299803
ollama/ollama,woodpecker-ci/woodpecker,0.15396
ollama/ollama,TagStudioDev/TagStudio,0.238571
ollama/ollama,databasus/databasus,0.155053
ollama/ollama,nesquena/hermes-webui,0.279182
ollama/ollama,farm-fe/farm,0.240898
ollama/ollama,home-assistant/frontend,0.276069
ollama/ollama,osaurus-ai/osaurus,0.319717
ollama/ollama,floci-io/floci,0.329153
ollama/ollama,metalbear-co/mirrord,0.219694
ollama/ollama,sacridini/Awesome-Geospatial,0.098493
ollama/ollama,Mai-with-u/MaiBot,0.137826
ollama/ollama,clidey/whodb,0.343181
ollama/ollama,Tracer-Cloud/opensre,0.210642
ollama/ollama,pytorch/executorch,0.284391
ollama/ollama,EasyCorp/EasyAdminBundle,0.081164
ollama/ollama,SwanHubX/SwanLab,0.282884
ollama/ollama,IBM/mcp-context-forge,0.204344
ollama/ollama,web-infra-dev/rsbuild,0.171932
ollama/ollama,metorial/metorial,0.25996
ollama/ollama,langwatch/langwatch,0.412592
ollama/ollama,neomjs/neo,0.233215
ollama/ollama,TableProApp/TablePro,0.202795
ollama/ollama,hosseinmoein/DataFrame,0.101309
ollama/ollama,av/harbor,0.255826
ollama/ollama,patrick-kidger/equinox,0.175258
ollama/ollama,ZSeven-W/openpencil,0.194928
ollama/ollama,superplanehq/superplane,0.234943
ollama/ollama,schultek/jaspr,0.095933
ollama/ollama,kubenav/kubenav,0.149012
ollama/ollama,apioo/fusio,0.188868
ollama/ollama,openhab/openhab-addons,0.3468
ollama/ollama,KudoAI/chatgpt.js,0.249483
ollama/ollama,ezshine/AwesomeSites,0.067739
ollama/ollama,Nano-Collective/nanocoder,0.298939
ollama/ollama,NeptuneHub/AudioMuse-AI,0.1699
ollama/ollama,userfrosting/UserFrosting,0.115339
ollama/ollama,apache/solr,0.035424
ollama/ollama,EnzymeAD/Enzyme,0.115407
ollama/ollama,TailGrids/tailgrids,0.102868
ollama/ollama,mkubaczyk/helmsman,0.135601
ollama/ollama,serversideup/spin,0.174312
ollama/ollama,kimdre/doco-cd,0.225613
ollama/ollama,kube-green/kube-green,0.212023
