Feature1,Feature2
-0.9299848075453587,9.78172085735123
-2.978672008987702,9.556846171784287
-2.9726153158652124,8.548556374628065
-2.267235351486716,7.101005883540523
-4.234115455565783,8.45199859895735
-3.5220287433871738,9.328533460793595
-3.417221698573961,7.60198242686303
-1.0435488541311961,8.788509827711787
-2.4416694183648264,7.589537941984865
-3.053580347577933,9.125208717908187
-3.6601912004750528,9.389984146543993
-3.109836312971555,8.722592378405045
-3.110904235282147,10.86656431270726
-2.5226948477906843,7.956575199242421
-1.686652710949561,7.793442478227299
-2.300334028047995,7.054616004318546
-3.837383671951181,9.211147364067445
-1.7707310430573397,9.185654409388292
-2.6248459054409907,8.713182432609033
-3.9877196134201776,8.294441919803614
-2.9698363940125376,10.071408354417237
-2.1655793334842888,7.251245972835587
-2.185113653657955,8.629203847782005
-3.186119623358709,9.62596241703919
-1.4781981005567992,9.94556624731452
-3.348415146275389,8.705073752347108
-2.1779341916491863,9.98983125532068
-2.9883718608980403,8.828627151534505
-3.6155325970587784,7.818079504117651
-1.6966718006585522,10.370526156769145
-2.581207744633084,10.017819026090345
-2.147561598005116,8.369166373593197
-2.147802017544336,10.55232269466429
-2.5450236621627016,10.578929784012328
-5.128942727142494,9.836188632573545
-2.422150554814579,8.715278777732454
-2.4174368465172478,7.026717213597429
-2.728869510890262,9.371398699710069
-1.031303578311234,8.496015909924674
-3.317691225945938,8.512529084613785
-1.593795505350676,9.343037237858006
-3.038957826819789,9.527553561311677
-2.4121200737047097,9.98293111873121
-3.2112507169301026,8.686623981600553
-2.9013057761849077,7.550771180066203
-2.2130773459881743,9.275341400378212
-2.5040841664102893,8.779698994823175
-3.9245683651031644,8.593640805432962
-2.8519121395795195,8.212008858976702
-2.6704833347187593,9.41833698501286
-0.62301172184222,9.18886394103016
-2.2516472323299856,8.939840212432154
-4.4279688383517914,8.987772252749105
-2.4489674131117236,11.477528240683608
-2.7015585878338726,9.315833470531935
-2.5439093927579934,7.845608090578789
-1.3663748085377296,9.766219160885095
-1.7181656760097033,8.104898673403582
-1.106403312116651,7.612435065406041
-1.9223405292524798,11.2047417540083
-3.4997339481834384,8.44798839859555
-2.409546257965109,8.510810474082122
-4.059861054118883,9.08284910300435
-3.571501336778855,9.487878558833502
-3.4286218572865534,10.564220533215861
-3.2924509153889874,8.692224611992646
-1.6956804056830803,7.7834218117643665
-2.281737688448621,10.321428882480749
-4.116680857613978,9.198919986730626
-2.2493148288043265,9.796108999975631
-3.746148333930832,7.693829515114045
-1.9872560574358524,9.311270801431508
-2.2587047727068734,9.360734337695297
-3.189222344631241,9.246539825359324
-2.216125149754069,8.299934710171954
6.505653347372858,2.4470026048525195
3.448575339025453,2.6297232925745617
3.66519716600078,2.760254287683184
5.798474415235505,1.1524873655890215
5.6032549654724235,2.3859506108772304
5.4619389962225915,3.869962666594679
4.394490720225231,1.2194335195832424
3.750364406602578,1.1573593989752937
4.562777126813997,2.314321658757376
4.916569635558121,2.8003529329767556
4.652880728106008,3.426703761098049
4.375222002990145,4.693338850530351
5.2655461839931075,1.1160121275244494
3.5689863381669893,2.455642099183917
4.41641605090225,2.687170178032824
5.113116460801646,1.9003407712838591
3.7930851181596963,0.45832245925486736
4.19336388416108,2.8295684782642043
4.853972580358305,0.727430905228744
4.813059762079283,2.358487063669569
3.7560214000269685,2.12689478988626
4.698087554674101,0.8301993861101089
4.997666196576384,2.5339542103089663
5.722930079403378,3.0269717359756347
3.2622094682710103,1.035344644025609
5.154914103436761,2.486955634852941
5.154926522534149,5.825901174595453
5.210769346921269,3.108735324121331
5.593880599721304,2.62456093524653
4.324609591587755,2.7321389044339996
3.8670536216905296,1.7363510772007231
4.154515288398998,2.0550438233270545
